Date,Reservoir,Full Tank Level (ft),Full Capacity mcft,Level (ft),Storage Mcft,Inflow (cusecs),Outflow (cusecs),Rainfall (mm),Storage as on same day last year (mcft)
01-11-2005,CHEMBARAMBAKKAM,85.4,3645,74.8,1259,278,0,3,72
02-11-2005,CHEMBARAMBAKKAM,85.4,3645,74.85,1259,0,0,0,78
03-11-2005,CHEMBARAMBAKKAM,85.4,3645,74.9,1268,104,0,2,78
04-11-2005,CHEMBARAMBAKKAM,85.4,3645,75,1284,185,0,7,78
05-11-2005,CHEMBARAMBAKKAM,85.4,3645,75.15,1310,301,0,40,78
06-11-2005,CHEMBARAMBAKKAM,85.4,3645,75.5,1371,706,0,54,101
07-11-2005,CHEMBARAMBAKKAM,85.4,3645,77.5,1739,4259,0,170,170
08-11-2005,CHEMBARAMBAKKAM,85.4,3645,79.15,2080,3900,0,52,250
09-11-2005,CHEMBARAMBAKKAM,85.4,3645,80.5,2387,3600,0,27,284
10-11-2005,CHEMBARAMBAKKAM,85.4,3645,81.35,2591,2400,0,0,292
11-11-2005,CHEMBARAMBAKKAM,85.4,3645,81.75,2690,1100,0,0,292
12-11-2005,CHEMBARAMBAKKAM,85.4,3645,81.9,2728,400,0,5,292
13-11-2005,CHEMBARAMBAKKAM,85.4,3645,82,2753,400,0,0,437
14-11-2005,CHEMBARAMBAKKAM,85.4,3645,82,2753,0,0,0,491
15-11-2005,CHEMBARAMBAKKAM,85.4,3645,82,2753,0,0,0,502
16-11-2005,CHEMBARAMBAKKAM,85.4,3645,82,2753,0,0,0,502
17-11-2005,CHEMBARAMBAKKAM,85.4,3645,82,2753,0,0,0,502
18-11-2005,CHEMBARAMBAKKAM,85.4,3645,82,2753,0,0,0,502
19-11-2005,CHEMBARAMBAKKAM,85.4,3645,81.99,2750,0,0,0,502
20-11-2005,CHEMBARAMBAKKAM,85.4,3645,81.97,2746,0,0,0,502
21-11-2005,CHEMBARAMBAKKAM,85.4,3645,81.96,2743,0,0,6,502
22-11-2005,CHEMBARAMBAKKAM,85.4,3645,82.25,2817,850,0,68,502
23-11-2005,CHEMBARAMBAKKAM,85.4,3645,82.6,2908,1600,1600,49,502
24-11-2005,CHEMBARAMBAKKAM,85.4,3645,82.9,2986,3500,3500,23,501
25-11-2005,CHEMBARAMBAKKAM,85.4,3645,82.9,2986,3500,3500,24,500
26-11-2005,CHEMBARAMBAKKAM,85.4,3645,82.95,3031,4500,4500,68,499
27-11-2005,CHEMBARAMBAKKAM,85.4,3645,82.6,2908,2500,2500,11,499
28-11-2005,CHEMBARAMBAKKAM,85.4,3645,82.6,2908,2000,2000,0,498
29-11-2005,CHEMBARAMBAKKAM,85.4,3645,82.6,2908,500,500,0,496
30-11-2005,CHEMBARAMBAKKAM,85.4,3645,82.6,2908,500,500,0,495
01-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.6,2908,0,0,0,494
02-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.6,2908,0,0,2,492
03-12-2005,CHEMBARAMBAKKAM,85.4,3645,83.4,3120,10000,10000,255,489
04-12-2005,CHEMBARAMBAKKAM,85.4,3645,83.25,3080,12000,12000,42,486
05-12-2005,CHEMBARAMBAKKAM,85.4,3645,83,3013,11000,11000,1,483
06-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.8,2960,5500,4500,0,480
07-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.8,2960,300,2500,0,478
08-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.7,2934,1340,1500,0,476
09-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.3,2830,700,2500,0,474
10-12-2005,CHEMBARAMBAKKAM,85.4,3645,81.55,2640,358,500,0,472
11-12-2005,CHEMBARAMBAKKAM,85.4,3645,81.8,2703,845,0,3,469
12-12-2005,CHEMBARAMBAKKAM,85.4,3645,81.95,2740,438,0,4,466
13-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.35,2843,1990,0,38,463
14-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.85,2973,4500,4000,2,460
15-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.9,2986,3500,2000,0,458
16-12-2005,CHEMBARAMBAKKAM,85.4,3645,83.1,3040,2000,1500,0,455
17-12-2005,CHEMBARAMBAKKAM,85.4,3645,83.15,3053,1000,1000,0,452
18-12-2005,CHEMBARAMBAKKAM,85.4,3645,83.1,3040,1555,1000,22,449
19-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.45,2866,1600,5000,30,446
20-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.2,2804,700,700,8,443
21-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.4,2855,590,0,2,440
22-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.6,2908,613,0,0,437
23-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.75,2947,451,0,0,434
24-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.8,2960,225,0,0,431
25-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.85,2973,150,0,0,428
26-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.9,2986,150,0,0,424
27-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.9,2986,50,0,0,421
28-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.9,2986,50,0,0,417
29-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.9,2986,50,0,0,413
30-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.9,2986,50,0,0,409
31-12-2005,CHEMBARAMBAKKAM,85.4,3645,82.9,2986,50,0,0,405
01-11-2008,CHEMBARAMBAKKAM,85.4,3645,78.07,1852,232,70,0,2728
02-11-2008,CHEMBARAMBAKKAM,85.4,3645,78.14,1866,232,70,0,2728
03-11-2008,CHEMBARAMBAKKAM,85.4,3645,78.22,1883,267,70,0,2728
04-11-2008,CHEMBARAMBAKKAM,85.4,3645,78.31,1901,278,70,0,2741
05-11-2008,CHEMBARAMBAKKAM,85.4,3645,78.4,1919,278,70,0,2753
06-11-2008,CHEMBARAMBAKKAM,85.4,3645,78.49,1938,278,70,0,2760
07-11-2008,CHEMBARAMBAKKAM,85.4,3645,78.58,1957,290,70,0,2760
08-11-2008,CHEMBARAMBAKKAM,85.4,3645,78.67,1976,290,70,0,2753
09-11-2008,CHEMBARAMBAKKAM,85.4,3645,78.76,1995,290,70,0,2747
10-11-2008,CHEMBARAMBAKKAM,85.4,3645,78.84,2013,278,70,0,2741
11-11-2008,CHEMBARAMBAKKAM,85.4,3645,78.87,2019,140,70,2,2735
12-11-2008,CHEMBARAMBAKKAM,85.4,3645,78.87,2019,0,70,0,2728
13-11-2008,CHEMBARAMBAKKAM,85.4,3645,78.96,2038,290,70,0,2721
14-11-2008,CHEMBARAMBAKKAM,85.4,3645,79.03,2053,243,70,0,2715
15-11-2008,CHEMBARAMBAKKAM,85.4,3645,79.1,2069,255,70,0,2703
16-11-2008,CHEMBARAMBAKKAM,85.4,3645,79.18,2086,267,70,5,2690
17-11-2008,CHEMBARAMBAKKAM,85.4,3645,79.26,2105,290,70,0,2678
18-11-2008,CHEMBARAMBAKKAM,85.4,3645,79.34,2121,255,70,0,2665
19-11-2008,CHEMBARAMBAKKAM,85.4,3645,79.42,2140,290,70,0,2665
20-11-2008,CHEMBARAMBAKKAM,85.4,3645,79.51,2159,290,70,0,2653
21-11-2008,CHEMBARAMBAKKAM,85.4,3645,79.59,2178,290,70,0,2715
22-11-2008,CHEMBARAMBAKKAM,85.4,3645,78.81,2226,625,70,36,2728
23-11-2008,CHEMBARAMBAKKAM,85.4,3645,80.15,2305,984,70,38,2722
24-11-2008,CHEMBARAMBAKKAM,85.4,3645,80.41,2365,764,70,20,2715
25-11-2008,CHEMBARAMBAKKAM,85.4,3645,80.55,2398,452,70,0,2709
26-11-2008,CHEMBARAMBAKKAM,85.4,3645,81.05,2518,1469,70,93,2703
